id,observed_on,time_observed_at,user_id,user_login,url,latitude,longitude,positional_accuracy,place_town_name,place_county_name,place_state_name,place_country_name,scientific_name,field:oba collection method,field:oba collector id,field:trap installed,field:trap removed
24457787,2019-05-03,2019-05-03 18:44:37 UTC,1447015,phylismcintosh,https://www.inaturalist.org/observations/24457787,42.3447460542,-123.6196591427,5,,Josephine,Oregon,United States,Arctostaphylos viscida,net,,"",""
24458646,2019-05-03,2019-05-03 18:58:06 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/24458646,42.3444997286,-123.6193811342,32,,Josephine,Oregon,United States,Lupinus,net,,"",""
24462254,2019-05-03,2019-05-03 19:55:06 UTC,1447015,phylismcintosh,https://www.inaturalist.org/observations/24462254,42.3568506958,-123.6587971823,5,,Josephine,Oregon,United States,Pinus jeffreyi,net,,"",""
24463819,2019-05-03,2019-05-03 20:17:53 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/24463819,44.63185109,-123.19694519,5,,Benton,Oregon,United States,Nemophila maculata,net,,,
24464544,2019-05-03,2019-05-03 20:30:36 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/24464544,44.63183765,-123.19695975,7,,Benton,Oregon,United States,Layia platyglossa,net,,,
24466506,2019-05-03,2019-05-03 21:00:48 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/24466506,44.63178352,-123.19689999,5,,Benton,Oregon,United States,Eschscholzia californica,net,,,
24467687,2019-05-03,2019-05-03 21:19:46 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/24467687,44.63184096,-123.19650208,3,,Benton,Oregon,United States,Nemophila menziesii,net,,,
24475100,2019-05-03,2019-05-03 22:46:52 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/24475100,44.6254848736,-123.2172051632,5,,Benton,Oregon,United States,Iris tenax,net,,"",""
24478149,2019-05-03,2019-05-03 20:35:58 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/24478149,44.6328624571,-123.1973093749,5,,Benton,Oregon,United States,Raphanus,net,,"",""
24478851,2019-05-03,2019-05-03 22:31:52 UTC,1447015,phylismcintosh,https://www.inaturalist.org/observations/24478851,42.4945758004,-123.7126551849,5,,Josephine,Oregon,United States,Quercus vacciniifolia,net,,"",""
24479028,2019-05-03,2019-05-03 23:11:21 UTC,1447015,phylismcintosh,https://www.inaturalist.org/observations/24479028,42.4942004169,-123.7130902895,5,,Josephine,Oregon,United States,Arctostaphylos uva-ursi,net,,"",""
24479889,2019-05-03,2019-05-03 23:02:42 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/24479889,44.62538731,-123.2170807,6,,Benton,Oregon,United States,,net,,,
24479926,2019-05-03,2019-05-03 21:38:43 UTC,327525,brianalindh,https://www.inaturalist.org/observations/24479926,44.8578440368,-122.2486378709,72,,Marion,Oregon,United States,Micranthes integrifolia,net,,"",""
24479946,2019-05-03,2019-05-03 21:52:36 UTC,327525,brianalindh,https://www.inaturalist.org/observations/24479946,44.8558421361,-122.2421703392,431,,Marion,Oregon,United States,Vaccinium parvifolium,net,,"",""
24483763,2019-05-03,2019-05-03 20:24:52 UTC,733757,pattiwittrup,https://www.inaturalist.org/observations/24483763,44.631848008,-123.1969047405,8,,Benton,Oregon,United States,Nemophila,net,,"",""
24485714,2019-05-03,2019-05-03 21:00:05 UTC,1492386,michelesims,https://www.inaturalist.org/observations/24485714,44.9106725073,-120.3702457343,10,,Wheeler,Oregon,United States,Purshia tridentata,net,,"",""
24485753,2019-05-03,2019-05-03 22:05:19 UTC,1492386,michelesims,https://www.inaturalist.org/observations/24485753,44.9150021794,-120.2693622374,10,,Wheeler,Oregon,United States,Prunus emarginata,net,,"",""
24486866,2019-05-03,2019-05-03 22:18:07 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/24486866,44.6252531559,-123.2174214163,5,,Benton,Oregon,United States,Phacelia tanacetifolia,net,,"",""
24487204,2019-05-03,2019-05-03 20:53:52 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/24487204,42.4427532442,-123.6825603155,32,,Josephine,Oregon,United States,,net,,"",""
24487218,2019-05-03,2019-05-03 21:23:48 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/24487218,42.4428234884,-123.6833041042,32,,Josephine,Oregon,United States,,net,,"",""
24487223,2019-05-03,2019-05-03 23:34:14 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/24487223,42.4952570838,-123.7120022445,48,,Josephine,Oregon,United States,Arctostaphylos patula,net,,"",""
24495022,2019-05-03,2019-05-03 20:13:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/24495022,42.4431083333,-123.6824722222,24,,Josephine,Oregon,United States,Lomatium,net,,,
24495700,2019-05-03,2019-05-04 06:10:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/24495700,42.4431,-123.6824,,,Josephine,Oregon,United States,Montia,net,,,
24495844,2019-05-03,2019-05-04 06:22:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/24495844,42.4952,-123.712,,,Josephine,Oregon,United States,,net,,,
24529695,2019-05-04,2019-05-04 18:56:22 UTC,1467387,loishawk,https://www.inaturalist.org/observations/24529695,,,4,,,,,Pieris japonica,net,,2019-05-04T12:27:00-07:00,
24533468,2019-05-04,2019-05-04 19:52:34 UTC,816767,jeaniet,https://www.inaturalist.org/observations/24533468,45.1338228258,-123.372452343,10,,Yamhill,Oregon,United States,Calochortus tolmiei,net,,"",""
24537655,2019-05-04,2019-05-04 20:46:55 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/24537655,44.8843935645,-122.8875959573,5,,Marion,Oregon,United States,Plectritis congesta,net,,"",""
24538267,2019-05-04,2019-05-04 20:55:21 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/24538267,44.8843480926,-122.8876853922,5,,Marion,Oregon,United States,Plectritis congesta,net,,"",""
24538474,2019-05-04,2019-05-04 20:58:10 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/24538474,44.8844253319,-122.8877473344,5,,Marion,Oregon,United States,Rosmarinus,net,,"",""
24542471,2019-05-04,2019-05-04 21:35:37 UTC,1482843,jdillow,https://www.inaturalist.org/observations/24542471,45.27387626,-123.01111426,7,,Yamhill,Oregon,United States,Origanum vulgare,net,,,
24542505,2019-05-04,2019-05-04 21:40:38 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/24542505,42.2313580171,-123.7029413769,16,,Josephine,Oregon,United States,Balsamorhiza sericea,net,,,
24542663,2019-05-04,2019-05-04 21:40:16 UTC,1492386,michelesims,https://www.inaturalist.org/observations/24542663,44.3117729947,-121.5912431852,10,,Deschutes,Oregon,United States,,nest block,,"",""
