id,observed_on,user_id,place_guess,latitude,longitude,place_town_name,scientific_name,field:location name,field:number of bees collected,field:oba collection method,field:oba collector id,field:sample id,field:trap installed,field:trap removed
10299013,3/18/2018,429964,"3070 SW Morris Ave, Corvallis, OR 97333, USA",44.55552457,-123.2854209,,,bumble bee flew into my house,1,net,apm,1,,
10330143,3/20/2018,429964,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56745898,-123.2832032,,Osmanthus × burkwoodii,OSU pollinator garden,3,net,apm,2,,
10330837,3/20/2018,429964,"NE Smith Ln, Corvallis, OR 97333, USA",44.56543029,-123.2409816,,Salix,OSU organic club farm,5,net,apm,3,,
10404883,3/14/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60300738,-123.2644865,,Berberis aquifolium,,2,net,JLP,1,,
10404922,3/19/2018,175529,"3700 NW Highland Dr, Corvallis, OR, US",44.60316361,-123.2649772,,Berberis aquifolium,,1,net,JLP,3,,
10412271,3/19/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60299581,-123.2643803,,Forsythia,,1,net,JLP,2,,
10493350,3/29/2018,816767,"17501 SW Gopher Valley Rd, Sheridan, OR, US",45.13355251,-123.3749765,,Salix,McConnell,2,net,jt,3,,
10493720,3/29/2018,816767,"17501 SW Gopher Valley Rd, Sheridan, OR, US",45.13352979,-123.3749312,,Berberis aquifolium,McConnell,1,net,jt,2,,
10494118,3/29/2018,816767,"Yamhill County, US-OR, US",45.13371139,-123.3730467,,Ericaceae,gvr,1,net,jt,1,,
10494828,3/29/2018,816767,"17701 SW Gopher Valley Rd, Sheridan, OR, US",45.13419996,-123.3732355,,Arctostaphylos densiflora,gvr,2,net,jt,4,,
10496035,3/29/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17172506,-123.1861913,,Acer macrophyllum,McMinnville O'Loughlin Farms,2,net,Mol,1,,
10496093,3/29/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17252639,-123.1853538,,Salix,O'Loughlin Farms,2,net,Mol,2,,
10496679,3/29/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59890375,-123.3154306,,Arctostaphylos densiflora,backyard,5,net,EW,1,,
10497653,3/29/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17098121,-123.1860797,,Prunus salicina,O'Loughlin Farms,1,net,Mol,5,,
10497683,3/29/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17100501,-123.186222,,Pyrus,O'Loughlin Farms,3,net,Mol,4,,
10497898,3/29/2018,792468,mcminnville oregon,45.173867,-123.180494,,Salix,O'Loughlin Farms,2,net,Mol,3,,
10507934,3/29/2018,429964,"17701 Gopher Valley Rd, Sheridan, OR 97378, USA",45.13395608,-123.3727218,,Arctostaphylos,,1,net,jt,4,,
10507984,3/29/2018,429964,"17701 Gopher Valley Rd, Sheridan, OR 97378, USA",45.13396833,-123.372543,,Arctostaphylos densiflora,,1,net,apm,4,,
10515339,3/30/2018,792083,"Smith Ln, Corvallis, OR, US",44.56537615,-123.2408774,,Salix lasiandra,ORGS student farm,2,net,KDZ,1,,
10517115,3/30/2018,792083,"Smith Ln, Corvallis, OR, US",44.56553616,-123.240802,,Berberidaceae,,,net,,,,
10529001,3/31/2018,429964,"Coos County, US-OR, US",43.39458552,-124.2532426,,Lithodora diffusa,,1,net,apm,5,,
