id,user_id,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,species_guess,scientific_name,field:flower bee is visiting,field:location name,field:number of bees collected,field:oba collection method,field:oba collector id,field:sample id,field:trap installed,field:trap removed
10299013,429964,"3070 SW Morris Ave, Corvallis, OR 97333, USA",44.55552457,-123.28542094,,Benton,Oregon,United States,Oregon,,,,bumble bee flew into my house,1,net,apm,1,,
10330143,429964,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56745898,-123.28320322,,Benton,Oregon,United States,Oregon,,Osmanthus × burkwoodii,,OSU pollinator garden,3,net,apm,2,,
10330837,429964,"NE Smith Ln, Corvallis, OR 97333, USA",44.56543029,-123.24098158,,Linn,Oregon,United States,Oregon,willows,Salix,,OSU organic club farm,5,net,apm,3,,
10404883,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.6030073753,-123.2644864732,,Benton,Oregon,United States,Oregon,Oregon Grape,Berberis aquifolium,,"",2,net,JLP,1,"",""
10404922,175529,"3700 NW Highland Dr, Corvallis, OR, US",44.603163614,-123.2649772336,,Benton,Oregon,United States,Oregon,Oregon grape,Berberis aquifolium,,"",1,net,JLP,3,"",""
10412271,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.6029958083,-123.2643802745,,Benton,Oregon,United States,Oregon,,Forsythia,,"",1,net,JLP,2,"",""
10493350,816767,"17501 SW Gopher Valley Rd, Sheridan, OR, US",45.1335525094,-123.3749764693,,Yamhill,Oregon,United States,Oregon,willows,Salix,,McConnell,2,net,jt,3,"",""
10493720,816767,"17501 SW Gopher Valley Rd, Sheridan, OR, US",45.1335297944,-123.374931207,,Yamhill,Oregon,United States,Oregon,Oregon grape,Berberis aquifolium,,McConnell,1,net,jt,2,"",""
10494118,816767,"Yamhill County, US-OR, US",45.1337113884,-123.3730467038,,Yamhill,Oregon,United States,Oregon,Erica spp,Ericaceae,,gvr,1,net,jt,1,"",""
10494828,816767,"17701 SW Gopher Valley Rd, Sheridan, OR, US",45.1341999627,-123.3732355026,,Yamhill,Oregon,United States,Oregon,bearberries and manzanitas,Arctostaphylos,,gvr,2,net,jt,4,"",""
