id,observed_on,time_observed_at,user_id,user_login,url,place_guess,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,scientific_name,taxon_family_name,field:collection site description,field:number of bees collected,field:oba collection method,field:oba collector id,field:sample id,field:trap installed,field:trap removed
25275916,5/17/2019,2019-05-17 19:28:24 UTC,1561159,jocelyn_mcauley,https://www.inaturalist.org/observations/25275916,"5313 NE Multnomah St, Portland, OR 97213, USA",45.53148278,-122.6089709,5,Multnomah,Oregon,United States,Eschscholzia californica,Papaveraceae,"1205 NE 53rd Ave, Portland OR 97213",2,net,,1,,
25292576,5/17/2019,2019-05-17 22:52:36 UTC,1462047,marksg,https://www.inaturalist.org/observations/25292576,"Tualatin Hills Nature Reserve, Beaverton, OR, US",45.50286986,-122.8407428,2000,Washington,Oregon,United States,Cornus sericea,Cornaceae,A few meters south of the Merlo Max rail station.,10,net,,52,,
25292638,5/17/2019,2019-05-18 00:13:46 UTC,1462047,marksg,https://www.inaturalist.org/observations/25292638,"Just east of Tualatin Hills Nature Reserve, Beaverton, OR, US",45.50187286,-122.8374335,10,Washington,Oregon,United States,Cytisus scoparius,Fabaceae,Near max line.  Scotch broom .  Bombus,1,net,,53,,
25301809,5/17/2019,2019-05-18 00:02:53 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25301809,"Josephine County, OR, USA Fish Hatchery Park",42.3567,-123.411,,Josephine,Oregon,United States,Eriophyllum lanatum,Asteraceae,"Josephine Co.,Fish Hatchery Park",2,net,,99,,
25301892,5/17/2019,2019-05-17 22:59:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25301892,"Josephine County, OR, USA",42.35253889,-123.3803694,4116,Josephine,Oregon,United States,Plectritis congesta,Caprifoliaceae,"OR: Josephine Co., Fish Hatchery Park",3,net,,100,,
25301917,5/17/2019,2019-05-17 23:00:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25301917,"Josephine County, OR, USA",42.35908889,-123.4141444,748,Josephine,Oregon,United States,Microseris nutans,Asteraceae,"OR: Josephine Co., Fish Hatchery Park",10,net,,101,,
25301942,5/17/2019,2019-05-18 00:50:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25301942,"Josephine County, OR, USA",42.35883889,-123.4189194,1369,Josephine,Oregon,United States,Allium,Amaryllidaceae,"OR: Josephine Co., Fish Hatchery Park",20,net,,102,,
25302008,5/17/2019,2019-05-18 00:37:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25302008,"Josephine County, US-OR, US",42.3581,-123.415,,Josephine,Oregon,United States,Calochortus uniflorus,Liliaceae,"OR: Josephine Co., Fish Hatchery Park",1,net,,103,,
25302036,5/17/2019,2019-05-18 01:13:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25302036,"Josephine County, OR, USA",42.3592,-123.4133972,48,Josephine,Oregon,United States,Achillea millefolium,Asteraceae,"OR: Josephine Co., Fish Hatchery Park",1,net,,104,,
25328644,5/18/2019,2019-05-18 17:45:03 UTC,1539907,pdxmartha,https://www.inaturalist.org/observations/25328644,"Brentwood-Darlington, Portland, OR, USA",45.47318064,-122.612551,8,Multnomah,Oregon,United States,Pentaglottis sempervirens,Boraginaceae,"portland, se 48th near bybee",1,net,,1,,
25341076,5/18/2019,2019-05-18 20:55:21 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25341076,"31321 Marys Peak Rd, Philomath, OR 97370, USA",44.47366283,-123.5375433,8,Benton,Oregon,United States,Ceanothus cuneatus,Rhamnaceae,,1,net,,267,,
25344872,5/18/2019,2019-05-18 21:48:29 UTC,1434266,laurebordelon,https://www.inaturalist.org/observations/25344872,"1005 Reserve St, Silverton, OR, US",45.00549342,-122.7730439,5,Marion,Oregon,United States,Vancouveria hexandra,Berberidaceae,Marion co Silverton 1005 Reserve St,2,net,,18.5.2019.1.2,,
25345283,5/18/2019,2019-05-18 21:58:46 UTC,1434266,laurebordelon,https://www.inaturalist.org/observations/25345283,"911 Reserve St, Silverton, OR, US",45.00549685,-122.7730628,10,Marion,Oregon,United States,Rhododendron maximum,Ericaceae,Marion co  Silverton 1005 Reserve St,9,net,,18.5.2019.2.9,,
25347425,5/18/2019,2019-05-18 22:37:26 UTC,1482843,jdillow,https://www.inaturalist.org/observations/25347425,"Dundee, OR 97115, USA",45.27380384,-123.0111189,7,Yamhill,Oregon,United States,Salvia officinalis,Lamiaceae,Dundee,10,net,,10,,
25354796,5/18/2019,2019-05-19 00:51:39 UTC,1539907,pdxmartha,https://www.inaturalist.org/observations/25354796,"Brentwood-Darlington, Portland, OR, USA",45.47312765,-122.6129614,4,Multnomah,Oregon,United States,Philadelphus coronarius,Hydrangeaceae,"portland, 6906 se 48th",1,net,,2,,
25394614,5/19/2019,2019-05-19 18:04:49 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25394614,"Albany, OR 97321, USA",44.71383646,-123.1625927,6,Benton,Oregon,United States,Rosa nutkana,Rosaceae,"Luckiamute State Natural Area, South Unit",0,net,,268,,
25397506,5/19/2019,2019-05-19 18:58:03 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25397506,"Albany, OR 97321, USA",44.71679855,-123.1606076,7,Benton,Oregon,United States,Symphoricarpos albus,Caprifoliaceae,"Luckiamute State Natural Area, South Unit",2,net,,269,,
25402104,5/19/2019,2019-05-19 20:15:44 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25402104,"Independence, OR 97351, USA",44.7320403,-123.1519325,5,Polk,Oregon,United States,Lomatium nudicaule,Apiaceae,"Luckiamute State Natural Area, North Unit",11,net,,270,,
25403649,5/19/2019,2019-05-19 20:38:21 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25403649,"Independence, OR 97351, USA",44.73164214,-123.1509079,8,Polk,Oregon,United States,Sidalcea campestris,Malvaceae,"Luckiamute State Natural Area, North Unit",5,net,,271,,
25409313,5/19/2019,2019-05-19 22:12:14 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25409313,"Independence, OR 97351, USA",44.73187228,-123.1526225,7,Polk,Oregon,United States,Physocarpus capitatus,Rosaceae,"Luckiamute State Natural Area, North Unit",1,net,,272,,
25413701,5/19/2019,2019-05-19 17:58:53 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/25413701,"8759 Buena Vista Rd NW, Albany, OR, US",44.71384748,-123.162597,5,Benton,Oregon,United States,Rosa nutkana,Rosaceae,,1,net,,85,,
25413754,5/19/2019,2019-05-19 20:41:24 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/25413754,"97351, Independence, OR, US",44.73142241,-123.1504804,5,Polk,Oregon,United States,Lomatium,Apiaceae,,5,net,,86,,
25413862,5/19/2019,2019-05-19 17:10:56 UTC,327525,brianalindh,https://www.inaturalist.org/observations/25413862,"2455 River Rd S, Salem, OR, US",44.91902167,-123.0602195,30676,Marion,Oregon,United States,Lupinus,Fabaceae,Minto Brown Park,1,net,,156,,
